interaction_id,user_id,content_id,event,score,completion_rate,quiz_score,timestamp
I00001,U0001,C002,quiz_passed,0.761,1.0,0.661,2025-09-01T00:00:00
I00002,U0001,C005,viewed,0.275,0.079,,2025-09-01T02:00:00
I00003,U0001,C042,quiz_passed,0.76,1.0,0.692,2025-09-01T04:00:00
I00004,U0001,C010,completed,0.764,1.0,0.519,2025-09-01T06:00:00
I00005,U0001,C082,completed,0.806,1.0,0.65,2025-09-01T08:00:00
I00006,U0001,C002,quiz_passed,0.811,1.0,0.673,2025-09-01T10:00:00
I00007,U0001,C051,viewed,0.516,0.61,0.353,2025-09-01T12:00:00
I00008,U0002,C029,disliked,0.353,0.18,0.378,2025-09-01T14:00:00
I00009,U0002,C073,viewed,0.19,0.016,,2025-09-01T16:00:00
I00010,U0002,C015,completed,0.467,1.0,,2025-09-01T18:00:00
I00011,U0002,C029,completed,0.707,1.0,0.564,2025-09-01T20:00:00
I00012,U0003,C028,quiz_passed,0.808,1.0,0.853,2025-09-01T22:00:00
I00013,U0003,C017,completed,0.565,1.0,,2025-09-02T00:00:00
I00014,U0003,C095,completed,0.518,1.0,,2025-09-02T02:00:00
I00015,U0003,C096,viewed,0.604,0.63,0.577,2025-09-02T04:00:00
I00016,U0003,C095,completed,0.78,1.0,0.707,2025-09-02T06:00:00
I00017,U0003,C054,viewed,0.238,0.043,,2025-09-02T08:00:00
I00018,U0003,C095,viewed,0.42,0.29,0.595,2025-09-02T10:00:00
I00019,U0003,C096,completed,0.511,1.0,,2025-09-02T12:00:00
I00020,U0003,C047,completed,0.547,1.0,,2025-09-02T14:00:00
I00021,U0003,C099,quiz_passed,0.808,1.0,0.706,2025-09-02T16:00:00
I00022,U0003,C006,quiz_passed,0.579,0.51,0.659,2025-09-02T18:00:00
I00023,U0003,C009,completed,0.542,1.0,,2025-09-02T20:00:00
I00024,U0004,C067,completed,0.856,1.0,0.791,2025-09-02T22:00:00
I00025,U0004,C001,quiz_passed,0.843,1.0,0.806,2025-09-03T00:00:00
I00026,U0004,C082,completed,0.566,1.0,,2025-09-03T02:00:00
I00027,U0004,C075,quiz_passed,0.764,1.0,0.657,2025-09-03T04:00:00
I00028,U0004,C018,completed,0.873,1.0,0.755,2025-09-03T06:00:00
I00029,U0004,C090,completed,0.484,1.0,,2025-09-03T08:00:00
I00030,U0004,C066,viewed,0.436,0.7,,2025-09-03T10:00:00
