escenario,modelo,precision_5,recall_5,ndcg_5,coverage,users_evaluated
Warm Start,NCF-MLP,0.15472350230414747,0.2912716699583059,0.23749402810684514,29.807692307692307,1736
Warm Start,NeuMF,0.12799539170506913,0.2344486047107015,0.20081586231179271,25.961538461538463,1736
Warm Start,ItemKNN,0.1184331797235023,0.23895426450149948,0.18329098400502872,34.61538461538461,1736
Warm Start,UserKNN,0.10633640552995394,0.20987628922536755,0.16687775067149,52.88461538461539,1736
Warm Start,GMF,0.06463133640552994,0.12163841342988808,0.1213612724391758,20.192307692307693,1736
Warm Start,Popularidad,0.0726958525345622,0.1555553269694975,0.11640080851907061,4.807692307692308,1736
Warm Start,SVD,0.07327188940092166,0.13742365225660155,0.1125246000559552,51.92307692307693,1736
Warm Start,TF-IDF + Cosine,0.057027649769585256,0.11303511996196328,0.08496133659858295,85.57692307692307,1736
Warm Start,Random,0.024078341013824882,0.04743137846536464,0.036308545665890944,100.0,1736
Cold Start,Popularidad,0.41465968586387436,0.21579184182671685,0.42921252985567576,4.807692307692308,191
Cold Start,NeuMF-Profile,0.3842931937172775,0.20007112443299765,0.40018327738484977,5.769230769230769,191
Cold Start,Profile + Content Ridge,0.32670157068062833,0.1745518037954204,0.3540902100451307,4.807692307692308,191
Cold Start,TF-IDF + Cosine (perfil),0.15078534031413612,0.07290730944158483,0.15055227664255616,13.461538461538462,191
Cold Start,Random,0.10261780104712043,0.04825518033407264,0.10061591957879104,100.0,191
