interaction_id,user_id,content_id,timestamp,session_id,interaction_type,duration_seconds,completed,outcome,source,position,concepts_covered
1,U1737,C015,2025-09-01 04:43:00,U1737-3,read,250.8,True,correct,recommended,4,C28
2,U0774,C085,2025-09-01 07:28:00,U0774-7,read,339.4,True,correct,search,9,C21
3,U0774,C085,2025-09-01 07:28:00,U0774-7,read,196.2,True,correct,recommended,10,C21
4,U0774,C085,2025-09-01 07:28:00,U0774-7,view,72.7,False,na,recommended,7,C21
5,U1290,C001,2025-09-01 09:45:00,U1290-4,read,437.5,True,correct,browse,7,C01
6,U0916,C068,2025-09-01 10:53:00,U0916-3,view,29.9,False,na,search,2,C12
7,U0408,C058,2025-09-01 12:03:00,U0408-3,read,147.5,True,correct,browse,7,C09
8,U1252,C050,2025-09-01 12:24:00,U1252-3,read,86.0,False,na,recommended,8,C21
9,U1432,C062,2025-09-01 12:42:00,U1432-1,read,141.1,True,correct,recommended,7,C12
10,U1082,C001,2025-09-01 13:32:00,U1082-2,read,188.4,True,correct,browse,4,C01
11,U0256,C028,2025-09-01 14:05:00,U0256-2,read,45.4,False,na,recommended,1,C15
12,U0049,C052,2025-09-01 18:04:00,U0049-2,read,16.0,False,na,recommended,6,C22
13,U0286,C099,2025-09-01 20:59:00,U0286-1,read,311.7,True,incorrect,search,10,C20
14,U1223,C109,2025-09-01 22:18:00,U1223-3,view,216.6,False,na,search,10,C27;C13
15,U1223,C050,2025-09-01 22:18:00,U1223-3,read,169.0,True,correct,recommended,6,C21
16,U1139,C002,2025-09-02 10:04:00,U1139-3,read,142.7,True,correct,browse,4,C01
17,U1705,C070,2025-09-02 11:05:00,U1705-5,view,23.0,False,na,search,2,C26
18,U1705,C070,2025-09-02 11:05:00,U1705-5,view,87.9,False,na,recommended,4,C26
19,U1705,C070,2025-09-02 11:05:00,U1705-5,view,14.1,False,na,recommended,6,C26
20,U1705,C092,2025-09-02 11:05:00,U1705-5,read,348.5,True,incorrect,browse,10,C18
21,U1131,C069,2025-09-02 11:19:00,U1131-2,view,14.6,False,na,browse,2,C26
22,U1326,C030,2025-09-02 12:38:00,U1326-1,view,68.8,False,incorrect,recommended,9,C15
23,U1326,C030,2025-09-02 12:38:00,U1326-1,read,247.4,True,correct,browse,9,C15
24,U1326,C030,2025-09-02 12:38:00,U1326-1,read,60.1,True,correct,browse,10,C15
25,U1184,C050,2025-09-02 13:49:00,U1184-2,read,53.4,False,na,browse,2,C21
26,U0995,C013,2025-09-02 20:23:00,U0995-3,read,51.4,False,na,browse,10,C16
27,U0995,C090,2025-09-02 20:23:00,U0995-3,read,69.2,True,correct,recommended,6,C16
28,U1119,C081,2025-09-03 07:40:00,U1119-5,tool,71.3,False,na,recommended,6,C16
29,U1119,C054,2025-09-03 07:40:00,U1119-5,read,249.2,True,correct,browse,9,C15;C29
30,U1119,C054,2025-09-03 07:40:00,U1119-5,read,38.8,True,incorrect,recommended,2,C15;C29
31,U1119,C054,2025-09-03 07:40:00,U1119-5,read,109.4,False,na,browse,2,C15;C29
32,U0372,C047,2025-09-03 10:49:00,U0372-1,read,189.9,True,correct,search,7,C02
33,U0241,C098,2025-09-03 11:19:00,U0241-7,read,55.2,False,na,search,8,C20
34,U0358,C074,2025-09-03 11:40:00,U0358-6,tool,202.2,True,na,browse,1,C23
35,U0358,C002,2025-09-03 11:40:00,U0358-6,read,229.8,True,correct,recommended,3,C01
36,U0358,C106,2025-09-03 11:40:00,U0358-6,read,103.7,True,incorrect,recommended,7,C21
37,U0358,C106,2025-09-03 11:40:00,U0358-6,read,88.8,True,correct,search,8,C21
38,U0879,C025,2025-09-03 13:28:00,U0879-1,read,542.5,True,correct,browse,7,C18
39,U0525,C018,2025-09-03 13:45:00,U0525-5,read,471.0,True,correct,browse,2,C02
40,U1599,C067,2025-09-03 16:16:00,U1599-2,view,44.2,False,na,browse,3,C15
41,U1599,C002,2025-09-03 16:16:00,U1599-2,read,65.4,False,incorrect,browse,1,C01
42,U1599,C002,2025-09-03 16:16:00,U1599-2,read,263.8,True,correct,recommended,7,C01
43,U1599,C042,2025-09-03 16:16:00,U1599-2,read,36.7,False,na,recommended,7,C15
44,U1391,C106,2025-09-03 18:16:00,U1391-2,read,321.5,True,incorrect,recommended,2,C21
45,U1476,C083,2025-09-03 19:37:00,U1476-2,view,33.5,False,na,search,4,C25
46,U1476,C106,2025-09-03 19:37:00,U1476-2,read,72.6,True,correct,recommended,7,C21
47,U1868,C065,2025-09-03 20:30:00,U1868-5,read,96.4,True,incorrect,recommended,2,C15
48,U1868,C090,2025-09-03 20:30:00,U1868-5,read,14.3,False,na,browse,7,C16
49,U0304,C021,2025-09-03 21:23:00,U0304-1,read,156.3,True,correct,recommended,9,C04;C10
50,U1928,C061,2025-09-04 03:48:00,U1928-2,view,79.3,False,incorrect,browse,3,C28
51,U1928,C061,2025-09-04 03:48:00,U1928-2,view,50.4,False,na,browse,8,C28
52,U1928,C067,2025-09-04 03:48:00,U1928-2,read,236.5,True,correct,search,4,C15
