interaction_id,user_id,content_id,event,score,completion_rate,quiz_score,timestamp
I00001,U0230,C002,completed,0.726,1.0,0.573,2025-09-01T00:00:00
I00002,U0134,C003,completed,0.517,1.0,,2025-09-01T02:00:00
I00003,U0035,C030,quiz_passed,0.775,1.0,0.706,2025-09-01T04:00:00
I00004,U0208,C006,completed,0.513,1.0,,2025-09-01T06:00:00
I00005,U0240,C072,quiz_passed,0.808,1.0,0.823,2025-09-01T08:00:00
I00006,U0234,C002,disliked,0.161,0.1,,2025-09-01T10:00:00
I00007,U0165,C048,completed,0.547,1.0,,2025-09-01T12:00:00
I00008,U0123,C025,completed,0.514,1.0,,2025-09-01T14:00:00
I00009,U0058,C066,completed,0.573,1.0,,2025-09-01T16:00:00
I00010,U0068,C009,quiz_passed,0.856,1.0,0.798,2025-09-01T18:00:00
I00011,U0248,C025,completed,0.484,1.0,,2025-09-01T20:00:00
I00012,U0041,C028,completed,0.536,1.0,,2025-09-01T22:00:00
I00013,U0178,C017,quiz_passed,0.881,1.0,0.765,2025-09-02T00:00:00
I00014,U0060,C001,completed,0.477,1.0,,2025-09-02T02:00:00
I00015,U0007,C047,viewed,0.459,0.49,0.314,2025-09-02T04:00:00
I00016,U0011,C003,completed,0.558,1.0,,2025-09-02T06:00:00
I00017,U0229,C050,viewed,0.251,0.071,,2025-09-02T08:00:00
I00018,U0099,C003,completed,0.536,1.0,,2025-09-02T10:00:00
I00019,U0212,C018,completed,0.495,1.0,,2025-09-02T12:00:00
I00020,U0087,C048,quiz_passed,0.84,1.0,0.661,2025-09-02T14:00:00
I00021,U0129,C071,disliked,0.276,0.02,0.38,2025-09-02T16:00:00
I00022,U0013,C003,quiz_passed,0.756,1.0,0.68,2025-09-02T18:00:00
I00023,U0196,C009,completed,0.576,1.0,,2025-09-02T20:00:00
I00024,U0152,C064,viewed,0.152,0.094,,2025-09-02T22:00:00
I00025,U0073,C001,viewed,0.146,0.017,,2025-09-03T00:00:00
I00026,U0241,C072,completed,0.503,1.0,,2025-09-03T02:00:00
I00027,U0103,C050,viewed,0.249,0.042,,2025-09-03T04:00:00
I00028,U0166,C017,viewed,0.228,0.35,,2025-09-03T06:00:00
I00029,U0118,C065,completed,0.749,1.0,0.565,2025-09-03T08:00:00
I00030,U0223,C062,completed,0.53,1.0,,2025-09-03T10:00:00
I00031,U0033,C028,completed,0.559,1.0,,2025-09-03T12:00:00
I00032,U0159,C064,quiz_passed,0.787,1.0,0.76,2025-09-03T14:00:00
I00033,U0250,C016,viewed,0.133,0.066,,2025-09-03T16:00:00
I00034,U0051,C057,viewed,0.259,0.073,,2025-09-03T18:00:00
