interaction_id,user_id,content_id,event,score,completion_rate,quiz_score,timestamp
I00001,U0001,C002,completed,0.487,1.0,,2025-10-12T20:39:10.995740
I00002,U0001,C003,quiz_passed,0.801,1.0,0.605,2025-10-12T21:20:26.627772
I00003,U0001,C042,quiz_passed,0.743,1.0,0.624,2025-10-13T17:12:24.181193
I00004,U0001,C006,completed,0.495,1.0,,2025-10-14T02:45:58.449717
I00005,U0001,C082,completed,0.794,1.0,0.588,2025-10-14T19:22:35.802588
I00006,U0001,C002,completed,0.461,1.0,,2025-10-15T11:37:41.168968
I00007,U0001,C074,viewed,0.2,0.2,,2025-10-15T23:27:07.996653
I00008,U0001,C044,viewed,0.266,0.016,,2025-10-16T01:39:38.362146
I00009,U0001,C095,completed,0.746,1.0,0.432,2025-10-16T06:57:51.700202
I00010,U0001,C010,viewed,0.239,0.063,,2025-10-17T13:35:40.857551
I00011,U0001,C044,viewed,0.287,0.49,,2025-10-17T06:45:31.879962
I00012,U0001,C029,viewed,0.391,0.27,0.388,2025-10-18T10:04:04.252969
I00013,U0001,C018,completed,0.801,1.0,0.593,2025-10-18T16:52:19.607407
I00014,U0001,C001,viewed,0.272,0.46,,2025-10-18T18:51:39.488420
I00015,U0002,C096,disliked,0.163,0.03,,2025-10-07T15:24:06.443203
I00016,U0002,C006,viewed,0.516,0.53,0.318,2025-10-07T18:41:41.887176
I00017,U0002,C054,viewed,0.426,0.57,0.329,2025-10-08T13:03:34.424649
I00018,U0002,C003,disliked,0.29,0.07,0.337,2025-10-08T16:11:42.777553
I00019,U0002,C029,quiz_passed,0.753,1.0,0.654,2025-10-09T21:08:00.661245
I00020,U0002,C047,completed,0.855,1.0,0.694,2025-10-09T22:29:58.141849
I00021,U0002,C096,viewed,0.232,0.009,,2025-10-10T05:20:55.748386
I00022,U0002,C006,viewed,0.275,0.036,,2025-10-11T08:20:14.561195
I00023,U0002,C011,completed,0.568,1.0,,2025-10-11T06:18:50.172839
I00024,U0002,C090,completed,0.485,1.0,,2025-10-11T16:08:29.599423
I00025,U0002,C005,viewed,0.516,0.57,0.272,2025-10-12T17:04:48.789111
I00026,U0003,C082,quiz_passed,0.813,1.0,0.876,2025-10-01T23:43:02.834842
I00027,U0003,C053,completed,0.54,1.0,,2025-10-02T10:29:10.368983
I00028,U0003,C018,completed,0.495,1.0,,2025-10-03T03:02:36.640032
I00029,U0003,C073,completed,0.874,1.0,0.839,2025-10-03T02:46:18.055767
I00030,U0003,C099,disliked,0.328,0.01,0.471,2025-10-04T00:15:48.332916
I00031,U0003,C096,completed,0.51,1.0,,2025-10-04T23:02:42.146478
I00032,U0003,C071,quiz_passed,0.804,1.0,0.814,2025-10-04T20:33:27.782743
I00033,U0003,C013,quiz_passed,0.866,1.0,0.768,2025-10-05T04:23:11.149030
I00034,U0003,C057,completed,0.524,1.0,,2025-10-05T19:33:07.866846
I00035,U0003,C050,completed,0.462,1.0,,2025-10-06T18:05:49.923248
I00036,U0003,C072,viewed,0.364,0.53,,2025-10-07T07:55:23.156477
I00037,U0003,C028,completed,0.577,1.0,,2025-10-07T11:15:06.217509
I00038,U0003,C045,quiz_passed,0.794,1.0,0.73,2025-10-07T16:06:48.313105
I00039,U0003,C067,quiz_passed,0.891,1.0,0.874,2025-10-08T21:07:20.692488
I00040,U0004,C050,quiz_passed,0.885,1.0,0.771,2025-09-16T21:17:02.077216
I00041,U0004,C081,completed,0.559,1.0,,2025-09-18T00:27:47.382631
I00042,U0004,C057,viewed,0.447,0.34,0.498,2025-09-18T07:11:15.386342
I00043,U0004,C081,completed,0.515,1.0,,2025-09-18T08:09:07.655642
I00044,U0004,C078,disliked,0.19,0.11,,2025-09-19T16:12:23.679703
I00045,U0004,C048,quiz_passed,0.877,1.0,0.803,2025-09-19T13:49:49.520483
I00046,U0004,C061,completed,0.75,1.0,0.709,2025-09-20T04:51:05.131233
I00047,U0004,C030,completed,0.531,1.0,,2025-09-21T01:23:40.702162
I00048,U0004,C002,viewed,0.416,0.32,0.531,2025-09-21T18:47:37.137744
I00049,U0004,C066,completed,0.482,1.0,,2025-09-21T19:24:03.129996
I00050,U0004,C010,viewed,0.285,0.096,,2025-09-22T12:24:33.659052
I00051,U0004,C071,completed,0.464,1.0,,2025-09-22T20:14:26.396887
I00052,U0004,C096,viewed,0.111,0.094,,2025-09-22T21:38:46.444559
I00053,U0004,C061,completed,0.791,1.0,0.743,2025-09-23T10:40:43.162011
I00054,U0005,C015,completed,0.557,1.0,,2025-09-24T15:44:33.249914
I00055,U0005,C044,quiz_passed,0.748,1.0,0.673,2025-09-24T14:15:34.579682
I00056,U0005,C045,completed,0.742,1.0,0.618,2025-09-24T20:18:36.995868
I00057,U0005,C003,disliked,0.326,0.05,0.54,2025-09-25T10:03:49.655430
I00058,U0005,C045,completed,0.703,1.0,0.573,2025-09-26T05:42:48.984845
I00059,U0005,C053,completed,0.462,1.0,,2025-09-26T23:17:18.616775
I00060,U0005,C029,completed,0.536,1.0,,2025-09-26T22:48:09.382058
I00061,U0005,C013,viewed,0.59,0.68,0.346,2025-09-28T03:28:44.114310
I00062,U0005,C006,quiz_passed,0.824,1.0,0.785,2025-09-27T21:24:36.487463
I00063,U0005,C075,viewed,0.213,0.077,,2025-09-28T22:39:04.237209
I00064,U0005,C001,quiz_passed,0.807,1.0,0.789,2025-09-29T13:37:57.225455
I00065,U0005,C030,completed,0.499,1.0,,2025-09-29T20:14:26.524380
I00066,U0005,C013,viewed,0.353,0.2,0.338,2025-09-30T10:05:06.495264
I00067,U0005,C050,quiz_passed,0.791,1.0,0.763,2025-09-30T19:24:06.935468
I00068,U0006,C098,completed,0.537,1.0,,2025-10-10T06:44:09.944012
I00069,U0006,C082,completed,0.509,1.0,,2025-10-11T08:03:31.173945
I00070,U0006,C098,completed,0.547,1.0,,2025-10-11T05:31:37.809298
I00071,U0006,C097,viewed,0.126,0.032,,2025-10-12T04:48:14.482290
