interaction_id,user_id,content_id,topic,affinity,completion,relevant,event,score,timestamp
I00001,U0001,C800,cuentas bancarias,1.0,1,1,completed,1.0,2025-01-00:00:00
I00002,U0001,C558,deuda,1.0,1,1,quiz_passed,1.0,2025-02-02:00:00
I00003,U0001,C761,fraude,0.7,0,0,viewed,0.1062,2025-03-04:00:00
I00004,U0001,C485,tarjetas,0.8,1,1,completed,0.9408,2025-04-06:00:00
I00005,U0001,C121,hipotecas,0.7,1,1,quiz_passed,0.7456,2025-05-08:00:00
I00006,U0001,C610,credito,1.0,1,1,quiz_passed,1.0,2025-06-10:00:00
I00007,U0001,C289,inflacion,0.9,1,1,quiz_passed,0.955,2025-07-12:00:00
I00008,U0001,C343,cuentas bancarias,1.0,1,1,completed,1.0,2025-08-14:00:00
I00009,U0001,C120,prestamos,1.0,1,1,quiz_passed,1.0,2025-09-16:00:00
I00010,U0001,C113,credito,1.0,1,1,quiz_passed,1.0,2025-10-18:00:00
I00011,U0001,C439,credito,1.0,0,0,viewed,0.0147,2025-11-20:00:00
I00012,U0001,C875,hipotecas,0.7,1,1,completed,0.7915,2025-12-22:00:00
I00013,U0001,C971,prestamos,1.0,1,1,completed,1.0,2025-13-00:00:00
I00014,U0002,C871,planificacion,0.8,0,0,viewed,0.0312,2025-01-00:00:00
I00015,U0002,C261,deuda,0.1,1,0,completed,0.2163,2025-02-02:00:00
I00016,U0002,C370,inversion,0.45,1,0,completed,0.5591,2025-03-04:00:00
I00017,U0002,C395,ahorro,1.0,1,1,quiz_passed,1.0,2025-04-06:00:00
I00018,U0002,C891,ahorro,1.0,0,0,viewed,0.081,2025-05-08:00:00
I00019,U0002,C140,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-06-10:00:00
I00020,U0002,C620,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-07-12:00:00
I00021,U0002,C238,hipotecas,0.7,0,0,viewed,0.0008,2025-08-14:00:00
I00022,U0002,C478,interes,0.8,1,1,completed,0.9185,2025-09-16:00:00
I00023,U0002,C234,hipotecas,0.7,1,1,quiz_passed,0.7174,2025-10-18:00:00
I00024,U0002,C602,cuentas bancarias,1.0,0,0,viewed,0.0143,2025-11-20:00:00
I00025,U0002,C971,hipotecas,0.7,1,1,quiz_passed,0.8094,2025-12-22:00:00
I00026,U0002,C561,fraude,0.7,1,1,quiz_passed,0.7574,2025-13-00:00:00
I00027,U0003,C497,cuentas bancarias,1.0,0,0,viewed,0.0354,2025-01-00:00:00
I00028,U0003,C653,fraude,0.7,1,1,quiz_passed,0.7641,2025-02-02:00:00
I00029,U0003,C340,deuda,0.1,1,0,quiz_passed,0.2344,2025-03-04:00:00
I00030,U0003,C506,inversion,1.0,1,1,quiz_passed,1.0,2025-04-06:00:00
I00031,U0003,C624,ahorro,1.0,1,1,quiz_passed,1.0,2025-05-08:00:00
I00032,U0003,C677,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-06-10:00:00
I00033,U0003,C895,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-07-12:00:00
I00034,U0003,C430,hipotecas,0.7,0,0,viewed,0.1339,2025-08-14:00:00
I00035,U0003,C289,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-09-16:00:00
I00036,U0003,C727,prestamos,0.1,1,0,quiz_passed,0.1641,2025-10-18:00:00
I00037,U0003,C510,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-11-20:00:00
I00038,U0003,C783,interes,0.8,1,1,quiz_passed,0.818,2025-12-22:00:00
I00039,U0003,C571,interes,0.8,1,1,quiz_passed,0.8328,2025-13-00:00:00
I00040,U0004,C663,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-01-00:00:00
I00041,U0004,C712,cuentas bancarias,1.0,1,1,completed,1.0,2025-02-02:00:00
I00042,U0004,C741,planificacion,0.8,1,1,quiz_passed,0.8914,2025-03-04:00:00
I00043,U0004,C484,fraude,0.7,1,1,quiz_passed,0.7518,2025-04-06:00:00
I00044,U0004,C771,credito,0.1,1,0,quiz_passed,0.1734,2025-05-08:00:00
I00045,U0004,C283,interes,0.8,1,1,quiz_passed,0.8121,2025-06-10:00:00
I00046,U0004,C983,ahorro,1.0,1,1,completed,1.0,2025-07-12:00:00
I00047,U0004,C243,cuentas bancarias,1.0,0,0,viewed,0.1225,2025-08-14:00:00
I00048,U0004,C448,inflacion,0.3,0,0,viewed,0.028,2025-09-16:00:00
I00049,U0004,C445,cuentas bancarias,1.0,0,0,viewed,0.033,2025-10-18:00:00
I00050,U0004,C919,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-11-20:00:00
I00051,U0004,C971,planificacion,0.8,0,0,viewed,0.0777,2025-12-22:00:00
I00052,U0004,C250,diversificacion,0.05,1,0,quiz_passed,0.067,2025-13-00:00:00
I00053,U0005,C243,cuentas bancarias,1.0,1,1,completed,1.0,2025-01-00:00:00
I00054,U0005,C101,cuentas bancarias,1.0,0,0,viewed,0.0794,2025-02-02:00:00
I00055,U0005,C259,fraude,0.7,0,0,disliked,0.0837,2025-03-04:00:00
I00056,U0005,C915,fraude,0.7,1,1,quiz_passed,0.7524,2025-04-06:00:00
I00057,U0005,C772,credito,0.1,0,0,disliked,0.0607,2025-05-08:00:00
I00058,U0005,C521,hipotecas,0.7,1,1,quiz_passed,0.7242,2025-06-10:00:00
I00059,U0005,C572,interes,0.8,1,1,quiz_passed,0.8558,2025-07-12:00:00
I00060,U0005,C437,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-08-14:00:00
I00061,U0005,C260,hipotecas,0.7,1,1,quiz_passed,0.8492,2025-09-16:00:00
I00062,U0005,C603,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-10-18:00:00
I00063,U0005,C132,cuentas bancarias,1.0,1,1,completed,1.0,2025-11-20:00:00
I00064,U0005,C121,hipotecas,0.7,1,1,quiz_passed,0.7954,2025-12-22:00:00
I00065,U0005,C537,interes,0.8,1,1,completed,0.859,2025-13-00:00:00
I00066,U0006,C708,planificacion,0.8,0,0,viewed,0.0525,2025-01-00:00:00
I00067,U0006,C928,inversion,0.45,1,0,quiz_passed,0.4793,2025-02-02:00:00
I00068,U0006,C611,ahorro,1.0,1,1,quiz_passed,1.0,2025-03-04:00:00
I00069,U0006,C472,ahorro,1.0,1,1,completed,1.0,2025-04-06:00:00
I00070,U0006,C448,cuentas bancarias,1.0,0,0,viewed,0.143,2025-05-08:00:00
I00071,U0006,C215,planificacion,0.8,1,1,completed,0.9445,2025-06-10:00:00
I00072,U0006,C355,interes,0.8,1,1,quiz_passed,0.9277,2025-07-12:00:00
I00073,U0006,C665,hipotecas,0.7,1,1,quiz_passed,0.7592,2025-08-14:00:00
I00074,U0006,C387,hipotecas,0.7,0,0,viewed,0.0146,2025-09-16:00:00
I00075,U0006,C589,planificacion,0.8,1,1,quiz_passed,0.8381,2025-10-18:00:00
I00076,U0006,C910,cuentas bancarias,1.0,0,0,viewed,0.1046,2025-11-20:00:00
I00077,U0006,C637,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-12-22:00:00
I00078,U0006,C605,ahorro,1.0,0,0,disliked,0.137,2025-13-00:00:00
I00079,U0007,C875,ahorro,1.0,1,1,completed,1.0,2025-01-00:00:00
I00080,U0007,C570,hipotecas,0.7,0,0,viewed,0.1335,2025-02-02:00:00
I00081,U0007,C953,fraude,0.7,1,1,quiz_passed,0.7658,2025-03-04:00:00
I00082,U0007,C249,hipotecas,0.7,1,1,quiz_passed,0.8473,2025-04-06:00:00
I00083,U0007,C937,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-05-08:00:00
I00084,U0007,C363,fraude,0.7,1,1,quiz_passed,0.749,2025-06-10:00:00
I00085,U0007,C295,interes,0.8,0,0,viewed,0.0934,2025-07-12:00:00
