content_id,url,url_type,fuente,format,status,ok,title_extracted,title_csv,title_match,text_len,num_headings,classification,error
C001,https://www.finanzasparatodos.es/como-elaborar-un-presupuesto,html,Finanzas para Todos,artículo web,200,True,¿Cómo elaborar un presupuesto? - Finanzas para todos,Cómo elaborar un presupuesto,True,5280,4,ok,
C002,https://www.finanzasparatodos.es/como-esta-tu-salud-financiera,html,Finanzas para Todos,artículo web,200,True,¿Cómo está tu salud financiera? - Finanzas para todos,Cómo está tu salud financiera,True,4732,1,ok,
C003,https://www.finanzasparatodos.es/planificaci-n-financiera-antes-de-gastar-qu-hacer-con-la-paga-extra-o-la-devoluci-n-de-la-renta,html,Finanzas para Todos,nota de prensa,200,True,Planificación financiera antes de gastar: qué hacer con la paga extra o la devolución de la renta -,Planificación financiera: paga extra y devolución de la renta,False,4375,7,ok,
C004,https://www.finanzasparatodos.es/system/cms_multimedia/cms_medias/files/000/000/313/original/10_consejos_inversion.pdf?1624983738,pdf,Finanzas para Todos,PDF,200,True,"Renta fija, acciones y fondos de inversión",10 consejos de inversión,False,8498,8,ok,
C005,https://www.finanzasparatodos.es/system/cms_multimedia/cms_medias/files/000/000/316/original/7_consejos_jubilacion.pdf?1624983738,pdf,Finanzas para Todos,PDF,200,True,Consejos básicos de salud financiera – 7,7 consejos para la jubilación,False,6641,13,ok,
C006,https://www.finanzasparatodos.es/system/cms_multimedia/cms_medias/files/000/000/398/original/8_productos_bancarios.pdf?1627554360,pdf,Finanzas para Todos,PDF,200,True,Consejos básicos de salud financiera – 8,8 productos bancarios,False,8187,6,ok,
C057,https://www.finanzasparatodos.es/system/cms_multimedia/cms_medias/files/000/000/398/original/8_productos_bancarios.pdf?1627554360,pdf,Finanzas para Todos,PDF,200,True,Consejos básicos de salud financiera – 8,Cómo comparar productos de ahorro,False,8187,6,ok,
C007,https://www.finanzasparatodos.es/system/cms_multimedia/cms_medias/files/000/000/397/original/6_consejos_vivienda.pdf?1627554360,pdf,Finanzas para Todos,PDF,200,True,Consejos básicos de salud financiera – 6,6 consejos sobre vivienda,False,8242,9,ok,
C008,https://www.finanzasparatodos.es/system/cms_multimedia/cms_medias/files/000/000/399/original/5_endeudamiento.pdf?1627554360,pdf,Finanzas para Todos,PDF,200,True,Consejos básicos de salud financiera – 5,5 consejos sobre endeudamiento,False,7029,11,ok,
C009,https://www.finanzasparatodos.es/c-mo-gestionar-mis-deudas,html,Finanzas para Todos,artículo web,200,True,¿Cómo gestionar mis deudas? - Finanzas para todos,Cómo gestionar mis deudas,True,7028,1,ok,
C010,https://www.finanzasparatodos.es/como-preparar-mi-jubilacion,html,Finanzas para Todos,artículo web,200,True,¿Cómo preparar mi jubilación? - Finanzas para todos,Cómo preparar mi jubilación,True,6504,1,ok,
C011,https://www.finanzasparatodos.es/como-cuidar-tu-entorno-personal-y-financiero-banco-yo,html,Finanzas para Todos,artículo web,200,True,¿Cómo cuidar tu entorno personal y financiero? - Finanzas para todos,Cuidado del entorno: el banco y yo,False,31594,1,ok,
C012,https://www.finanzasparatodos.es/como-cuidar-tu-entorno-personal-y-financiero-hogar/#hipoteca,html,Finanzas para Todos,artículo web,200,True,¿Cómo cuidar tu entorno personal y financiero? - Finanzas para todos,Cuidado del entorno: el hogar (hipoteca),False,12526,1,ok,
C013,https://www.finanzasparatodos.es/como-cuidar-tu-entorno/#familia,html,Finanzas para Todos,artículo web,200,True,¿Cómo cuidar tu entorno personal y financiero? - Finanzas para todos,Cuidado del entorno: la familia,False,1896,1,ok,
C014,https://www.finanzasparatodos.es/c-mo-invertir-tu-dinero,html,Finanzas para Todos,artículo web,200,True,¿Cómo invertir mi dinero? - Finanzas para todos,Cómo invertir tu dinero,False,5157,1,ok,
C015,https://www.finanzasparatodos.es/glosario,html,Finanzas para Todos,glosario web,200,True,Glosario - Finanzas para todos,Glosario de términos financieros,False,2310,1,ok,
C016,https://www.finanzasparatodos.es/herramientas,html,Finanzas para Todos,artículo web,200,True,Herramientas - Finanzas para todos,Calculadoras y herramientas financieras,False,2917,16,ok,
C017,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/cuentasdepositos/cuentascorriente/,html,Portal Cliente Bancario BdE,artículo web,200,True,"Cuentas corrientes, depósitos a la vista y libretas de ahorro","Cuentas corrientes, depósitos a la vista y libretas de ahorro",True,1967,10,ok,
C018,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/cuentasdepositos/depositosplazo/,html,Portal Cliente Bancario BdE,artículo web,200,True,Depósitos a plazo,Depósitos a plazo,True,1869,8,ok,
C019,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/serviciospago/tarjetas/,html,Portal Cliente Bancario BdE,artículo web,200,True,Tarjetas,Tarjetas de crédito y débito,True,1473,8,ok,
C058,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/serviciospago/tarjetas/,html,Portal Cliente Bancario BdE,artículo web,200,True,Tarjetas,Decálogo del buen uso de la tarjeta,False,1473,8,ok,
C020,https://clientebancario.bde.es/pcb/es/menu-horizontal/podemosayudarte/simuladores/calculo_cuota_tarjeta_revolving.html,html,Portal Cliente Bancario BdE,simulador,200,True,Cálculo de la fecha de vencimiento de la última cuota de una tarjeta revolving,Tarjeta revolving: simulador de cuota,False,1835,1,ok,
C021,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/financiacion/prestamopersonal/,html,Portal Cliente Bancario BdE,artículo web,200,True,Préstamo personal y crédito al consumo,Préstamo personal y crédito al consumo,True,1618,6,ok,
C022,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/financiacion/deudores-hipotecarios-sin-recursos/,html,Portal Cliente Bancario BdE,artículo web,200,True,Deudores hipotecarios en dificultades,Deudores hipotecarios en dificultades,True,2528,8,ok,
C023,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/financiacion/hipotecas/,html,Portal Cliente Bancario BdE,artículo web,200,True,Hipotecas,La hipoteca: guía completa,False,1430,6,ok,
C024,https://clientebancario.bde.es/pcb/es/blog/eliban-te-aclara-algunas-de-tus-dudas-con-la-hipoteca.html,html,Portal Cliente Bancario BdE,artículo blog,200,True,EliBÁN aclara algunas de tus dudas con la hipoteca,eliBAN: dudas con la hipoteca,False,562,1,ok,
C059,https://clientebancario.bde.es/pcb/es/blog/eliban-te-aclara-algunas-de-tus-dudas-con-la-hipoteca.html,html,Portal Cliente Bancario BdE,artículo blog,200,True,EliBÁN aclara algunas de tus dudas con la hipoteca,Errores comunes al solicitar una hipoteca,False,562,1,ok,
C025,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/relacionados/comisiones/,html,Portal Cliente Bancario BdE,artículo web,200,True,Comisiones,Comisiones bancarias,True,1364,5,ok,
C082,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/relacionados/comisiones/,html,Portal Cliente Bancario BdE,artículo web,200,True,Comisiones,Comisiones bancarias: conceptos y comparación,True,1364,5,ok,
C026,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/relacionados/tiposinteres/,html,Portal Cliente Bancario BdE,artículo web,200,True,Tipos de interés,Tipos de interés,True,1223,5,ok,
C027,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/relacionados/tiposinteres/guia-textual/tiposinteresrefe/tabla_tipos_referencia_oficiales_mercado_hipotecario.html,html,Portal Cliente Bancario BdE,artículo web,200,True,Tabla de los tipos de referencia oficiales del mercado hipotecario,Tabla de tipos de referencia oficiales del mercado hipotecario,False,4040,0,ok,
