user_id,age_group,education_level,employment_status,financial_knowledge_level,saving_habit,debt_experience,investment_experience,financial_behavior_level,financial_attitude_level,learning_goal,sex,risk,activity
U0001,25-34,bachillerato,empleado,bajo,frecuente,baja,ninguna,alto,bajo,ahorrar,hombre,0.25,0.7749999999999999
U0002,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0003,18-24,universidad,empleado,alto,frecuente,ninguna,ninguna,alto,alto,presupuestar,mujer,0.4,0.8749999999999999
U0004,18-24,universidad,empleado,medio,frecuente,baja,ninguna,alto,medio,ahorrar,hombre,0.325,0.8749999999999999
U0005,18-24,bachillerato,estudiante,medio,frecuente,baja,ninguna,alto,medio,presupuestar,hombre,0.325,0.85
U0006,18-24,bachillerato,estudiante,,frecuente,ninguna,básica,alto,,prepararse para invertir,mujer,0.725,0.85
U0007,25-34,posgrado,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0008,18-24,universidad,estudiante,medio,frecuente,baja,ninguna,alto,alto,ahorrar,hombre,0.4,0.85
U0009,25-34,bachillerato,empleado,medio,frecuente,ninguna,ninguna,alto,medio,presupuestar,hombre,0.325,0.7749999999999999
U0010,18-24,bachillerato,estudiante,bajo,frecuente,baja,ninguna,alto,medio,ahorrar,hombre,0.325,0.85
U0011,18-24,bachillerato,estudiante,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.85
U0012,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0013,18-24,bachillerato,estudiante,medio,frecuente,ninguna,ninguna,alto,alto,presupuestar,hombre,0.4,0.85
U0014,25-34,bachillerato,empleado,medio,ocasional,baja,ninguna,medio,medio,presupuestar,hombre,0.325,0.55
U0015,25-34,bachillerato,desempleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.675
U0016,18-24,universidad,empleado,medio,frecuente,baja,ninguna,alto,medio,ahorrar,hombre,0.325,0.8749999999999999
U0017,18-24,bachillerato,empleado,bajo,frecuente,media,ninguna,alto,bajo,entender deuda,hombre,0.25,0.8749999999999999
U0018,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,mujer,0.30000000000000004,0.7749999999999999
U0019,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0020,18-24,universidad,desempleado,medio,frecuente,ninguna,ninguna,alto,medio,planificar finanzas,hombre,0.325,0.775
U0021,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,mujer,0.30000000000000004,0.7749999999999999
U0022,25-34,universidad,empleado,medio,frecuente,baja,ninguna,alto,alto,ahorrar,hombre,0.4,0.7749999999999999
U0023,25-34,universidad,desempleado,medio,frecuente,baja,ninguna,alto,medio,planificar finanzas,hombre,0.325,0.675
U0024,25-34,bachillerato,desempleado,medio,frecuente,ninguna,ninguna,alto,medio,planificar finanzas,hombre,0.325,0.675
U0025,25-34,bachillerato,empleado,alto,frecuente,ninguna,ninguna,alto,alto,planificar finanzas,hombre,0.4,0.7749999999999999
U0026,18-24,secundaria,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.8749999999999999
U0027,25-34,bachillerato,empleado,,ocasional,ninguna,básica,medio,,prepararse para invertir,hombre,0.725,0.55
U0028,25-34,primaria,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0029,25-34,universidad,desempleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.675
U0030,18-24,bachillerato,desempleado,medio,frecuente,ninguna,ninguna,alto,medio,presupuestar,hombre,0.325,0.775
U0031,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
